Hometown,lon,lat
"Dayton, Ohio",-84.1916069,39.7589478
"Greenfield, Wis.",-88.0125865,42.9614039
"Reidsville, N.C.",-79.6644747,36.3548586
"Wautoma, Wis.",-89.287897,44.0746995
"Cincinnati, Ohio",-84.5120196,39.1031182
"Glassboro, N.J.",-75.1118422,39.70289229999999
"Brookfield, Wis.",-88.12605549999999,43.0609354
"Sherwood, Wis.",-88.2598276,44.1735996
"Imperial, Pa.",-80.2444658,40.4505165
"Fort Lauderdale, Fla.",-80.13731740000001,26.1224386
"Pewaukee, Wis.",-88.2058043,43.0654628
"Madison, Wis.",-89.4007501,43.0721661
"Miramar, Fla.",-80.30356019999999,25.9860762
"Kingsport, Tenn.",-82.5618186,36.548434
"Kenosha, Wis.",-87.82118539999999,42.5847425
"Virginia Beach, Va.",-75.97921939999999,36.8516437
"Ottawa, Ill.",-88.8425769,41.3455892
"Sunrise, Fla.",-80.25659499999999,26.1669711
"Dublin, Calif.",-121.9101221,37.7159396
"Delray Beach, Fla.",-80.0728201,26.4614625
"Milton, Wis.",-88.94399899999999,42.7755645
"Milwaukee, Wis.",-87.9064736,43.0389025
"Boynton Beach, Fla.",-80.0905465,26.5317866
"Washington Township, N.J.",-75.07279559999999,39.7561387
"Hillsdale, N.J.",-74.0404175,41.0025975
"Franklin, Wis.",-88.03841949999999,42.888627
"Waunakee, Wis.",-89.45567489999999,43.1919373
"West Palm Beach, Fla.",-80.0533746,26.7153424
"Everett, Mass.",-71.0536625,42.40843
"Chicago, Ill.",-87.6297982,41.8781136
"St. Paul, Minn.",-93.0899578,44.9537029
"Cedarburg, Wis.",-87.9875898,43.2966716
"Appleton, Wis.",-88.41538469999999,44.2619309
"Waukesha, Wis.",-88.2291729,43.0107836
"Nashotah, Wis.",-88.40311009999999,43.09480019999999
"Land O’ Lakes, Wis.",-89.2173057,46.1620081
"Kettering, Ohio",-84.1688274,39.68950359999999
"San Pedro, Calif.",-118.2922461,33.7360619
"Slinger, Wis.",-88.28620649999999,43.333613
"Roseville, Calif.",-121.2880059,38.7521235
"Mount Calvary, Wis.",-88.2462122,43.826381
"Hartland, Wis.",-88.3475262,43.1046143
"Aurora, Ill.",-88.32007150000001,41.7605849
"Glendale, Wis.",-87.9356423,43.135288
"Racine, Wis.",-87.78285230000002,42.7261309
"Fairview Heights, Ill.",-89.990382,38.5889386
"Columbus, Ohio",-82.99879419999999,39.9611755
"Wisconsin Rapids, Wis.",-89.8173465,44.38357630000001
"Somerset, Wis.",-92.6735365,45.1244108
"Menominee, Mich.",-87.6142737,45.10776269999999
"Merrill, Wis.",-89.6789076,45.24265370000001
"Huber Heights, Ohio",-84.12466080000002,39.843947
"Northbrook, Ill.",-87.82895479999999,42.1275267
"Wind Lake, Wis.",-88.1586997,42.8294603
"Wales, Wis.",-88.38400879999999,43.0057564
"Cuba City, Wis.",-90.42985019999999,42.6055549
"Rochester, Ill.",-89.53176030000002,39.7494943
"Oconto, Wis.",-87.8645473,44.8872124
"Oregon, Wis.",-89.38456339999999,42.9261116
"Maumee, Ohio",-83.65382439999999,41.5628294
"Springfield, Minn.",-94.97416539999999,44.23882709999999
"Tacoma, Wash.",-122.4442906,47.2528768
"Barrington, Ill.",-88.1361888,42.1539141
"Medford, Wis.",-90.3401404,45.1385798
"Berlin, Wis.",-88.9434476,43.9680364
"Hemlock, Mich.",-84.2305398,43.4147488
"Mount Airy, Md.",-77.154704,39.3762145
"Middleton, Wis.",-89.5042876,43.09721740000001
"Jefferson Hills, Pa.",-79.93199419999999,40.2911809
"Sheboygan, Wis.",-87.71453,43.7508284
"Loveland, Ohio",-84.26382600000001,39.2689476
"Darlington, Wis.",-90.1176258,42.6830566
"Greendale, Wis.",-87.9959191,42.9405711
"Weston, Wis.",-89.5476204,44.89080209999999
"Mason, Ohio",-84.309939,39.3600586
"Woodville, Wis.",-92.29129929999999,44.95302059999999
"Menomonee Falls, Wis.",-88.1174594,43.1788618
"Gotham, Wis.",-90.2915132,43.2233214
"Mount Lebanon, Pa.",-80.0494982,40.3553473
"Minnetonka, Minn.",-93.4687489,44.9211836
"Eden Prairie, Minn.",-93.47078599999999,44.8546856
"Buffalo Grove, Ill.",-87.9631308,42.1662831
"Jacksonville, Fla.",-81.65565099999999,30.3321838
"Sao Paulo, Brazil",-46.6395571,-23.5557714
"Jesup, Ga.",-81.8853924,31.6074365
"Ocala, Fla.",-82.14009229999999,29.1871986
"Oak Hill, Fla.",-80.8544974,28.8644338
"Montreal, Wis.",-73.56739189999999,45.5018869
"Logan, Utah",-111.8338359,41.7369803
"Goose Creek, S.C.",-80.03258670000001,32.9810059
"Delavan, Wis.",-88.6437138,42.6330703
"Tampa, Fla.",-82.45875269999999,27.9516896
"Capitol Heights, Md.",-76.9158068,38.8851122
"Waupaca, Wis.",-89.0859464,44.3580348
"Stoughton, Wis.",-89.21789369999999,42.91694620000001
"Muskego, Wis.",-88.1492892,42.9016299
"Fond du Lac, Wis.",-88.4470508,43.7730448
"Silver Lake, Wis.",-88.165643,42.5461297
"Lanham, Md.",-76.8620327,38.96851119999999
"Lake Villa, Ill.",-88.0739708,42.4169651
"Curtice, Ohio",-83.3673819,41.6183339
"New Berlin, Wis.",-88.10838969999999,42.9764549
"Grafton, Wis.",-87.9534226,43.3197265
"Cottage Grove, Wis.",-89.19955929999999,43.0761082
"Kapolei, Hawaii",-158.0823892,21.3337389
"East Troy, Wis.",-88.40509600000001,42.7852922
"Screven, Ga.",-82.0170596,31.48632539999999
"Okauchee, Wis.",-88.4475667,43.1147266
"Round Lake Beach, Ill.",-88.0900815,42.37168810000001
"West Chester, Pa.",-75.6054882,39.9606643
"Atlanta, Ga.",-84.38768449999999,33.748752
"Oak Creek, Wis.",-87.8631362,42.8858503
"Birmingham, Ala.",-86.8103567,33.5185892
"Orlando, Fla.",-81.3789269,28.5383832
"Wausau, Wis.",-89.6301221,44.9591352
"Kimberly, Wis.",-88.3389952,44.2722093
"Green Bay, Wis.",-88.0132958,44.5133188
"Bradenton, Fla.",-82.5748194,27.4989278
"Orange, Calif.",-117.855281,33.7879085
"DeSoto, Texas",-96.8570738,32.5896998
"Mequon, Wis.",-88.0314174,43.2159232
"Marshall, Wis.",-89.0667775,43.1683286
"Brown Deer, Wis.",-87.9645321,43.1633426
"Menasha, Wis.",-88.44649729999999,44.2022084
"Stevens Point, Wis.",-89.574563,44.52357920000001
"Pago Pago, American Samoa",-170.7020359,-14.2756319
"Black Creek, Wis.",-88.45065679999999,44.4774856
"Northville, Mich.",-83.4832692,42.4311464
"San Marcos, Calif.",-117.1661449,33.1433723
"Seymour, Wis.",-88.3303798,44.5149879
"Delafield, Wis.",-88.4041759,43.0599734
"Richfield, Wis.",-88.1943651,43.2562201
"Fort Lauderdale,                                                                Fla.",-80.13731740000001,26.1224386
"Downers Grove, Ill.",-88.01117459999999,41.8089191
"Stevens Point,                                                                Wis.",-89.574563,44.52357920000001
"Scottsdale, Ariz.",-111.9216734,33.4948764
"Pickerington, Ohio",-82.7535049,39.8842304
"Glenarden, Md.",-76.8596944,38.93015339999999
"Amherst Junction, Wis.",-89.31261380000001,44.4688627
"Flowery Branch, Ga.",-83.9251809,34.1851017
"Grand Prairie, Texas",-96.99778459999999,32.7459645
"Highland Park, Ill.",-87.8003437,42.1816918
"Washington, D.C.",-77.0368707,38.9071923
"Menomonie, Wis.",-91.9193422,44.8755183
"Severn, Md.",-76.6983022,39.1370528
"Hazel Crest, Ill.",-87.6944915,41.571701
"Miami, Fla.",-80.1917902,25.7616798
"Glen Ellyn, Ill.",-88.0670118,41.8775293
"Pittsfield, Mass.",-73.2453824,42.4500845
"Carmel, Ind.",-86.1180435,39.978371
"Dublin, Ohio",-83.1140771,40.0992294
"Long Grove, Ill.",-87.99785179999999,42.1783584
"Amherst, Wis.",-89.28483589999999,44.4508079
"Wyoming, Minn.",-92.9980556,45.3375
"Burlington, Wis.",-88.27620259999999,42.6780726
"Kansas City, Mo.",-94.5785667,39.0997265
"Macon, Ga.",-83.6324022,32.8406946
"Chandler, Ariz.",-111.8412502,33.3061605
"Howard, Kan.",NA,NA
"Springfield, Ohio",-83.8088171,39.9242266
"Rockville, Md.",-77.1527578,39.0839973
"Sayville, N.Y.",-73.08205559999999,40.73593169999999
"Rock Valley, Iowa",-96.2950263,43.2052594
"Austin, Texas",-97.7430608,30.267153
"Salem, N.J.",-75.46714229999999,39.5717796
"Kernersville, N.C.",-80.07365329999999,36.1198588
"Detroit, Mich.",-83.0457538,42.331427
"Miami Gardens, Fla.",-80.2456045,25.9420377
"Bolingbrook, Ill.",-88.0683955,41.69864159999999
"Mesa, Ariz.",-111.8314724,33.4151843
"De Pere, Wis.",-88.0603806,44.4488805
"Columbus, Wis.",-89.0153875,43.3380464
"Denver, Colo.",-104.990251,39.7392358
"Brooklyn, N.Y.",-73.9441579,40.6781784
"Loganville, Ga.",-83.90073819999999,33.8389977
"Inkster, Mich.",-83.30993029999999,42.2942045
"Clayton, Ind.",-86.52249839999999,39.6892129
"Culver City, Calif.",-118.3964665,34.0211224
"Katy, Texas",-95.8245093,29.7857765
"Lafayette, Calif.",-122.1180201,37.8857582
"Lodi, Wis.",-89.5265093,43.313878
"Humble, Texas",-95.26215529999999,29.99883119999999
"Sun Prairie, Wis.",-89.2137254,43.1836046
"Brownstown, Mich.",-83.2572332,42.1261157
"Grantsburg, Wis.",-92.6827041,45.7763419
"Deer Park, Ill.",-88.0814651,42.1608585
"Milan, Mich.",-83.6824384,42.0853204
"Southfield, Mich.",-83.2218731,42.4733688
"Lincoln, Neb.",-96.7025955,40.813616
"Combined Locks, Wis.",-88.314273,44.2658204
"Eau Claire, Wis.",-91.4984941,44.811349
"Overland Park, Kan.",-94.6707917,38.9822282
"Columbia, Md.",-76.86104619999999,39.2037144
"Redondo Beach, Calif.",-118.3884078,33.8491816
"Grand Rapids, Mich.",-85.6680863,42.9633599
"Long Beach, Calif.",-118.1937395,33.7700504
"San Francisco, Calif.",-122.4194155,37.7749295
"Pembroke Pines, Fla.",-80.2962555,26.007765
"Akron, Ohio",-81.51900529999999,41.0814447
"Pittsburgh, Pa.",-79.9958864,40.44062479999999
"Holmen, Wis.",-91.25625389999999,43.96329619999999
"Lititz, Pa.",-76.3069014,40.1573169
"Wichita, Kan.",-97.33005299999999,37.68717609999999
"Maple City, Mich.",-85.85557299999999,44.8554579
"Los Angeles, Calif.",-118.242643,34.0549076
"Fennimore, Wis.",-90.6554041,42.98359970000001
"San Diego, Calif.",-117.1610838,32.715738
"Fort Wayne, Ind.",-85.1393513,41.079273
"Janesville, Wis.",-89.0187222,42.6827885
"Newark, N.J.",-74.1723667,40.735657
"Sergeant Bluff, Iowa",-96.3588424,42.40298019999999
"Colorado Springs, Colo.",-104.8213634,38.8338816
"Kauai, Hawaii",-159.5261238,22.0964396
"Neenah, Wis.",-88.462609,44.1858193
"Verona, Wis.",-89.53317729999999,42.990831
"Memphis, Tenn.",-90.0489801,35.1495343
"Oshkosh, Wis.",-88.5426136,44.0247062
"Elysburg, Pa.",-76.5524554,40.86453059999999
"Pomfret, Conn.",-71.9625736,41.8975977
"St. Paul, Minn",-93.0899578,44.9537029
"Farmington, Mich.",-83.37632180000001,42.4644795
"Winona, Minn.",-91.6663523,44.0553908
"St. Charles, Ill.",-88.3086867,41.9141945
"Kewaunee, Wis.",-87.50313969999999,44.4583321
"Shorewood, Wis.",-87.8875848,43.0891787
"Stratford, Wis.",-90.07929750000001,44.8010763
"Oconomowoc, Wis.",-88.4994512,43.1114407
"Huntersville, N.C.",-80.84285040000002,35.410694
"Houlton, Wis.",-92.7916777,45.0606267
"Tiffin, Iowa",-91.6666711,41.7072653
"Naples, Fla.",-81.7948103,26.1420358
"Santa Barbara, Calif.",-119.6981901,34.4208305
"Bronx, N.Y.",-73.8648268,40.8447819
"Rosemount, Minn.",-93.12577230000001,44.7394103
"Glenview, Ill.",-87.8223368,42.0778065
"Arlington Heights, Ill.",-87.98062650000001,42.0883603
"Cape Coral, Fla.",-81.9495331,26.5628537
"Whitefish Bay, Wis.",-87.9000856,43.1133444
"Eagan, Minn.",-93.1668858,44.8041322
"Lakeville, Minn.",-93.24271999999999,44.6496868
"Arvada, Colo.",-105.0874842,39.8027644
"Medford, N.J.",-74.8390162,39.86618259999999
"Corona, Calif.",-117.5664384,33.8752935
"East St. Louis, Ill.",-90.1506465,38.624514
"Paterson, N.J.",-74.17181099999999,40.9167654
"Palm Beach Gardens, Fla.",-80.1019144,26.8396096
"Southlake, Texas",-97.1341783,32.9412363
"Johnston City, Ill.",-88.9275695,37.8206052
"Pacific Palisades, Calif.",-118.5155901,34.03563310000001
"Honolulu, Hawaii",-157.85814010000001,21.3098845
